I, [2011-08-22T14:25:48.181023 #25430]  INFO -- : (0.036070s) SELECT * FROM `users` WHERE `id` = 1
I, [2011-08-22T14:31:39.563058 #25498]  INFO -- : (0.053125s) SELECT * FROM `users` WHERE (`api_key` = '5c87948ac1979401') LIMIT 1
I, [2011-08-22T14:31:39.677853 #25498]  INFO -- : (0.033789s) SELECT * FROM `tags` WHERE (`name` = 'funny')
I, [2011-08-22T14:31:39.779732 #25498]  INFO -- : (0.098980s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` INNER JOIN `video_taggings` ON ((`video_taggings`.`record_id` = `videos`.`id`) AND (`video_taggings`.`tag_id` = 202)) ORDER BY `video_taggings`.`record_created_at` DESC LIMIT 10
I, [2011-08-22T14:31:39.918370 #25498]  INFO -- : (0.134235s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` INNER JOIN `video_taggings` ON ((`video_taggings`.`record_id` = `videos`.`id`) AND (`video_taggings`.`tag_id` = 202)) ORDER BY `video_taggings`.`record_created_at` DESC LIMIT 10
I, [2011-08-22T14:31:39.965199 #25498]  INFO -- : (0.039957s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:40.008343 #25498]  INFO -- : (0.040204s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:40.052067 #25498]  INFO -- : (0.041983s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:40.103321 #25498]  INFO -- : (0.049841s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:40.144282 #25498]  INFO -- : (0.037826s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795470) LIMIT 1
I, [2011-08-22T14:31:40.181832 #25498]  INFO -- : (0.036491s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795470) LIMIT 1
I, [2011-08-22T14:31:40.222801 #25498]  INFO -- : (0.036585s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:40.261077 #25498]  INFO -- : (0.036866s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:40.300729 #25498]  INFO -- : (0.037907s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
